State,District,Average Household Income (INR/year),Government Subsidy (INR),Competitor Price (INR),Battery Cost (INR),Battery Lifespan (years),Charging Infrastructure (Stations per 100 sq km),Electricity Cost (INR/kWh),Scooter Range (km per charge),Max Speed (km/h),"Loan Availability (1 = Yes, 0 = No)",Rural Road Quality (1-5 scale),Fuel Price (INR/liter)
Arunachal Pradesh,Pasighat,157795.93,15000.0,81810.0,33874,5,2,3.78,86,51,1,1,108.31
Odisha,Sambalpur,144201.44,15000.0,84728.0,23290,7,2,6.4,68,57,1,5,108.71
Tamil Nadu,Chennai,179723.32,10000.0,58803.0,39596,7,2,3.53,97,66,0,3,104.52
Odisha,Rourkela,88563.66,,67208.0,22348,3,3,5.76,100,66,1,1,102.87
Tripura,,133751.07,10000.0,85505.0,37350,7,1,4.57,126,64,1,3,102.57
Meghalaya,Shillong,209759.27,10000.0,76620.0,21837,7,0,6.17,134,67,1,4,97.48
Sikkim,Gyalshing,90355.19,15000.0,82155.0,31944,5,1,7.28,93,70,0,2,97.73
Odisha,Sambalpur,223845.61,15000.0,84205.0,22567,3,0,6.26,92,78,1,2,105.57
Himachal Pradesh,Manali,96629.15,10000.0,77492.0,18343,6,1,5.01,66,67,1,4,105.48
Andhra Pradesh,Vijayawada,192469.08,15000.0,98728.0,28334,5,1,4.21,80,60,1,3,95.02
Jharkhand,,131352.07,15000.0,67026.0,15107,6,2,4.86,97,58,1,4,100.24
Odisha,,92754.59,15000.0,62713.0,36315,4,2,5.34,89,57,1,2,105.86
Andhra Pradesh,Guntur,125155.05,10000.0,48525.0,20796,7,0,7.02,111,62,1,2,97.09
Arunachal Pradesh,Pasighat,177246.46,15000.0,86229.0,33455,5,2,7.41,125,72,1,4,106.2
Meghalaya,Tura,149657.3,10000.0,66449.0,34207,3,1,7.21,90,60,1,4,100.51
Kerala,Thiruvananthapuram,205923.47,10000.0,93990.0,33155,7,2,5.5,128,76,1,5,109.1
Haryana,Ambala,221787.0,15000.0,78719.0,33884,4,0,5.39,127,59,1,4,108.96
Tamil Nadu,Tiruchirapalli,90848.47,15000.0,69917.0,24834,7,0,4.59,88,59,1,2,97.92
Nagaland,Kohima,87186.54,10000.0,59180.0,17162,7,2,5.02,94,46,1,5,107.2
Arunachal Pradesh,Tawang,84760.31,15000.0,87697.0,37921,6,0,7.17,97,53,1,1,100.08
Tripura,Udaipur,105040.2,10000.0,74191.0,15951,4,1,6.95,129,56,0,3,100.55
Madhya Pradesh,Indore,205210.73,10000.0,79017.0,29193,3,1,4.09,113,51,1,5,107.83
Goa,Panaji,,15000.0,84066.0,17667,7,3,4.92,107,66,0,2,102.73
Rajasthan,,122748.62,15000.0,78986.0,24800,7,1,5.82,138,65,1,4,105.78
Uttar Pradesh,Kanpur,149444.87,20000.0,62252.0,34027,3,0,3.95,118,55,0,4,99.79
Goa,Vasco da Gama,220215.28,15000.0,82819.0,31178,3,1,4.91,145,55,1,5,106.7
Himachal Pradesh,Dharamshala,245400.54,15000.0,87303.0,28914,5,1,5.84,93,70,0,4,105.96
Meghalaya,Jowai,162969.22,15000.0,80403.0,28300,5,0,5.31,85,67,1,4,109.35
Karnataka,,50000.0,10000.0,84485.0,34557,7,1,6.96,73,65,0,1,97.83
Gujarat,Vadodara,,10000.0,85883.0,37223,5,0,5.88,100,60,0,5,98.62
Jharkhand,Ranchi,196737.41,15000.0,69059.0,19341,7,0,6.18,120,75,0,2,109.91
Jharkhand,,161231.62,15000.0,68496.0,15810,3,1,5.61,91,58,1,5,104.54
Tripura,Agartala,186325.75,15000.0,108401.0,16010,5,0,4.73,93,60,1,2,97.02
Punjab,Ludhiana,167853.27,10000.0,94886.0,37210,4,0,5.87,113,52,1,2,106.04
Nagaland,Kohima,88267.73,15000.0,74276.0,28685,4,2,7.49,54,76,1,2,97.52
West Bengal,Siliguri,105688.08,20000.0,85242.0,22513,3,3,4.3,76,75,1,2,102.6
Telangana,Warangal,133942.39,15000.0,60934.0,27958,7,0,6.39,142,68,0,3,109.27
Punjab,,203270.74,15000.0,66016.0,30854,4,2,6.35,68,70,1,1,102.71
Himachal Pradesh,Shimla,111705.8,10000.0,56296.0,23189,5,0,6.62,140,53,1,1,104.01
Manipur,Churachandpur,172795.13,10000.0,79284.0,33234,6,1,5.25,97,48,1,5,101.42
Bihar,Muzaffarpur,165184.63,10000.0,79460.0,16141,7,2,3.54,122,64,1,1,107.15
Haryana,Faridabad,,15000.0,91257.0,23898,5,0,7.12,98,88,0,3,97.88
Himachal Pradesh,Shimla,,,71819.0,19030,7,2,4.53,72,63,1,1,102.74
Madhya Pradesh,,62262.08,20000.0,90998.0,22541,5,2,5.1,110,49,1,3,100.28
Himachal Pradesh,Kullu,182343.52,15000.0,84793.0,29464,3,1,6.82,76,94,1,1,107.8
Uttar Pradesh,Kanpur,256902.76,25000.0,111888.0,19076,3,2,6.99,90,72,1,2,101.85
Bihar,Muzaffarpur,185619.17,15000.0,100006.0,35678,3,2,6.25,73,61,1,1,98.42
Mizoram,Aizawl,110616.92,15000.0,97382.0,32150,3,2,5.26,53,58,1,3,108.39
Meghalaya,Jowai,95902.71,10000.0,87535.0,38456,5,0,6.08,72,65,1,3,103.15
Manipur,,102351.56,15000.0,61586.0,16100,4,0,5.23,115,50,0,2,107.58
Assam,Guwahati,250165.59,10000.0,79391.0,24662,5,0,4.32,108,71,1,2,100.74
Tripura,Udaipur,133633.63,15000.0,108713.0,18497,5,1,4.85,97,60,0,5,109.37
Punjab,Amritsar,116867.83,20000.0,82604.0,24886,6,1,5.92,94,76,1,4,105.29
Chhattisgarh,Korba,142078.17,10000.0,62673.0,38035,6,0,3.84,118,67,1,4,109.33
Tamil Nadu,Madurai,134154.65,10000.0,80039.0,29092,5,0,3.58,121,48,0,4,99.09
Chhattisgarh,Raipur,228382.52,10000.0,60155.0,32856,3,1,3.52,79,53,1,1,104.0
Punjab,Ludhiana,99276.13,15000.0,62157.0,38664,6,1,3.95,112,54,1,1,97.65
Manipur,Churachandpur,209032.16,10000.0,81193.0,36739,6,1,4.05,148,37,0,2,95.77
Nagaland,Tuensang,156104.6,15000.0,86093.0,37390,5,2,6.2,87,57,1,3,97.21
Manipur,Imphal,210351.33,15000.0,63031.0,28862,7,1,5.12,135,74,1,3,106.06
Arunachal Pradesh,Tawang,229130.95,15000.0,66606.0,19393,6,0,3.68,106,74,1,5,107.97
Madhya Pradesh,Indore,,10000.0,53604.0,27667,3,0,4.25,139,65,1,4,95.94
Bihar,Bhagalpur,134246.82,,73060.0,15166,5,3,5.55,128,79,0,5,100.42
Jharkhand,Bokaro,153308.94,15000.0,45809.0,25601,7,2,5.98,122,59,0,1,102.86
Madhya Pradesh,Indore,145261.47,15000.0,70512.0,36320,4,1,7.44,99,56,0,2,101.84
Jharkhand,Dhanbad,,15000.0,76193.0,34909,3,2,5.58,104,49,1,5,95.94
Himachal Pradesh,Dharamshala,227624.02,15000.0,48663.0,35983,3,0,3.98,89,86,1,1,99.17
Haryana,Ambala,162289.25,10000.0,59891.0,37120,5,0,6.09,73,55,1,3,101.86
Assam,Guwahati,91845.04,15000.0,74098.0,17806,4,0,5.93,57,57,0,4,95.41
Meghalaya,Shillong,50000.0,15000.0,72051.0,19552,3,3,4.87,122,71,1,1,103.43
Maharashtra,Nashik,50000.0,15000.0,72744.0,32242,3,1,6.14,84,64,0,2,106.05
Himachal Pradesh,Manali,188524.02,10000.0,79320.0,24116,5,2,7.22,110,45,1,3,98.06
Rajasthan,Udaipur,119051.12,10000.0,49924.0,36187,3,0,3.58,97,70,1,3,102.21
Karnataka,Mysore,127254.97,15000.0,85629.0,33616,7,0,4.33,110,61,1,4,101.47
Assam,Silchar,174407.71,10000.0,70219.0,39993,4,0,3.97,105,74,0,5,99.95
Chhattisgarh,,124197.59,20000.0,66057.0,23906,6,1,6.32,72,51,1,2,105.65
Jharkhand,Dhanbad,177326.22,10000.0,47027.0,17824,6,1,6.14,69,63,0,2,106.45
Madhya Pradesh,Gwalior,154763.2,15000.0,70986.0,31034,4,3,3.87,65,55,1,5,98.89
Bihar,Bhagalpur,145793.52,15000.0,82680.0,28228,7,1,4.04,105,64,1,3,109.85
Telangana,Warangal,71362.48,20000.0,77123.0,39698,5,1,6.91,141,58,1,1,102.16
Madhya Pradesh,,109013.43,15000.0,77562.0,34692,5,1,5.87,83,62,1,5,109.44
Kerala,Thiruvananthapuram,180126.77,10000.0,69914.0,37514,6,0,5.54,126,65,1,5,96.31
Chhattisgarh,Durg,115898.91,10000.0,74091.0,38131,3,1,5.61,67,58,1,2,107.55
Jharkhand,Jamshedpur,210268.48,15000.0,58388.0,24642,4,0,4.16,67,74,1,3,103.72
West Bengal,Kolkata,267320.07,15000.0,74928.0,39636,7,0,5.09,88,65,0,4,109.33
Telangana,Karimnagar,182819.27,15000.0,67633.0,20828,5,0,5.83,95,54,1,1,104.72
Himachal Pradesh,Manali,224641.59,10000.0,58128.0,17959,4,0,5.46,122,68,1,2,105.29
Punjab,Patiala,186036.36,20000.0,86320.0,19187,3,0,5.21,97,67,1,5,104.64
Gujarat,,123286.9,10000.0,51374.0,27521,6,0,4.64,77,69,1,4,97.5
Arunachal Pradesh,Itanagar,,15000.0,82864.0,15969,3,5,4.98,95,79,1,5,104.15
Sikkim,Namchi,250666.05,,,17578,7,0,6.21,121,64,1,3,101.07
Telangana,Hyderabad,123822.31,15000.0,67091.0,37335,6,2,7.39,84,72,0,1,105.84
West Bengal,Howrah,98033.64,15000.0,90456.0,20113,3,1,7.08,102,54,1,2,100.12
Tamil Nadu,Coimbatore,93290.28,10000.0,66774.0,32171,7,1,6.69,88,72,0,1,106.27
Gujarat,Ahmedabad,139123.53,,65832.0,38353,7,1,6.35,94,48,1,5,109.4
Haryana,Ambala,99826.4,10000.0,56994.0,24211,7,1,5.27,109,47,0,3,96.78
Gujarat,Vadodara,233700.97,15000.0,74873.0,38354,4,4,5.08,91,49,0,1,103.03
Rajasthan,Jaipur,160817.83,20000.0,,16653,7,3,6.13,57,46,1,2,104.75
Tamil Nadu,Tiruchirapalli,198586.32,10000.0,63125.0,16260,5,1,4.24,93,84,1,4,101.15
Maharashtra,Nagpur,135066.73,15000.0,74019.0,18362,7,1,7.22,87,64,0,5,107.13
Uttar Pradesh,Lucknow,92990.14,,74647.0,20480,3,1,3.97,97,53,0,4,108.23
Odisha,,84530.3,15000.0,,35771,5,1,3.96,100,59,0,2,103.05
Chhattisgarh,Korba,104600.41,15000.0,88965.0,18125,6,0,4.23,142,79,0,2,101.75
Tamil Nadu,Tiruchirapalli,167376.27,20000.0,83264.0,21671,5,0,3.78,95,63,0,2,106.01
Tripura,Agartala,175994.15,15000.0,72801.0,19145,3,2,3.71,114,69,1,2,96.79
Nagaland,Tuensang,180159.8,15000.0,68939.0,26038,6,2,4.11,92,57,0,5,104.04
Punjab,Ludhiana,75566.37,15000.0,74601.0,37716,3,1,4.81,108,45,1,5,98.72
Kerala,Thrissur,149979.54,10000.0,66655.0,30273,3,0,5.77,95,63,0,1,109.32
Tamil Nadu,,98696.91,10000.0,64486.0,26776,4,0,5.66,90,63,1,5,103.8
Mizoram,Champhai,170073.3,10000.0,73818.0,25198,4,2,3.8,112,81,1,1,108.3
Madhya Pradesh,Bhopal,173953.85,10000.0,61824.0,38209,3,1,6.3,106,51,1,1,99.34
Arunachal Pradesh,Itanagar,,10000.0,62746.0,34632,7,0,4.67,129,65,1,3,102.73
Tripura,Agartala,198401.48,15000.0,89323.0,29554,4,1,5.15,92,70,0,1,98.3
Madhya Pradesh,Gwalior,266941.15,10000.0,,38247,3,3,4.97,92,67,1,1,106.71
Uttar Pradesh,Lucknow,,25000.0,59403.0,20375,5,0,5.48,85,63,0,2,102.13
Gujarat,Ahmedabad,141858.3,15000.0,94099.0,26064,3,1,3.63,95,61,1,2,97.14
West Bengal,,134172.71,15000.0,69117.0,29983,3,1,4.27,105,62,1,2,97.62
Jharkhand,Ranchi,139546.8,15000.0,95640.0,17237,6,0,4.11,102,58,0,5,106.66
Tamil Nadu,Chennai,111963.31,10000.0,57489.0,20967,4,1,6.71,120,59,1,1,96.33
Goa,Vasco da Gama,162619.91,15000.0,76106.0,16483,6,2,5.72,95,65,0,3,102.18
Assam,Dibrugarh,,15000.0,86577.0,36512,7,2,6.54,76,72,1,2,98.92
Uttar Pradesh,Lucknow,55515.11,20000.0,,22023,3,0,6.33,84,46,0,3,108.87
Assam,Silchar,160980.08,10000.0,100114.0,28991,4,1,4.57,77,70,1,3,98.51
Nagaland,,151061.65,15000.0,69144.0,28500,4,0,5.54,87,65,0,2,97.52
Karnataka,Bangalore,121441.5,15000.0,82636.0,22190,4,1,4.08,115,66,1,5,101.76
Sikkim,Namchi,85865.17,15000.0,64829.0,15296,3,2,6.62,78,42,1,3,105.09
Punjab,Ludhiana,164487.2,10000.0,97374.0,29663,3,2,4.32,93,75,1,5,105.35
Chhattisgarh,Korba,100491.25,15000.0,,31022,5,2,7.44,119,69,0,4,104.69
Odisha,Rourkela,143052.78,15000.0,106459.0,36459,6,2,7.39,77,65,1,5,99.8
Sikkim,,238248.59,15000.0,92686.0,16775,6,2,4.16,106,60,1,4,95.39
Uttarakhand,Haridwar,,15000.0,87555.0,31394,3,2,3.53,94,48,1,1,104.87
West Bengal,Durgapur,81543.37,10000.0,60673.0,38552,7,4,3.97,103,67,1,2,108.51
Odisha,Sambalpur,,10000.0,76257.0,34597,4,1,5.13,93,62,0,5,99.76
Manipur,Bishnupur,157590.95,10000.0,70249.0,25758,3,1,6.62,75,56,1,2,97.27
Meghalaya,Tura,81233.97,10000.0,75393.0,20242,3,0,6.88,63,71,1,5,99.52
Telangana,Hyderabad,50000.0,10000.0,77215.0,19539,3,1,5.43,98,75,1,1,103.33
Himachal Pradesh,,,10000.0,61489.0,24091,4,1,6.99,96,62,1,1,106.52
Bihar,,166046.79,10000.0,72651.0,36742,4,0,7.04,95,54,1,4,105.21
Manipur,Thoubal,172529.92,15000.0,73554.0,37682,3,1,5.91,111,71,1,2,103.47
Tripura,Dharmanagar,163151.76,20000.0,59846.0,26197,5,0,4.87,107,56,1,3,108.16
Kerala,Kochi,146734.46,15000.0,87006.0,24222,6,1,6.48,73,55,1,4,106.53
Tamil Nadu,Tiruchirapalli,116890.57,15000.0,78337.0,27725,5,0,6.18,126,67,0,4,98.0
Assam,Guwahati,175806.75,20000.0,87198.0,22639,5,1,5.37,98,70,0,1,106.02
Tamil Nadu,Tiruchirapalli,226494.17,15000.0,82308.0,22616,3,1,6.58,65,79,1,1,98.91
Maharashtra,Nagpur,124938.55,10000.0,49295.0,24953,4,2,6.77,99,57,1,3,109.8
Mizoram,,98962.99,15000.0,62500.0,21759,6,1,6.1,61,71,1,4,99.24
Odisha,,93244.03,15000.0,,23806,5,3,3.56,94,63,1,2,96.05
Goa,Mapusa,106663.49,15000.0,86776.0,29166,7,0,5.36,152,52,1,4,104.53
Bihar,Muzaffarpur,160129.93,,50675.0,38490,4,1,5.25,131,66,1,1,104.39
Gujarat,Rajkot,50000.0,15000.0,82050.0,27947,4,3,7.08,97,62,1,1,106.4
Odisha,Rourkela,171958.52,20000.0,62521.0,19783,6,2,5.54,141,52,1,5,107.12
Mizoram,Champhai,,15000.0,43552.0,35377,6,2,5.0,113,69,1,2,109.6
Tripura,Kailashahar,60096.08,15000.0,99858.0,25143,6,0,4.75,108,68,0,4,106.45
Meghalaya,Nongstoin,101040.98,15000.0,76129.0,23487,3,1,5.89,107,77,0,4,107.81
Manipur,,153984.05,15000.0,78254.0,21660,4,2,3.78,143,63,0,3,109.05
Sikkim,Mangan,142826.51,10000.0,56148.0,15521,3,2,7.0,126,52,0,2,98.87
Haryana,Panipat,175981.87,15000.0,57702.0,30843,3,1,5.98,94,81,0,1,97.79
Odisha,Rourkela,,15000.0,51125.0,36725,3,2,4.47,139,79,1,2,103.25
Haryana,Panipat,213238.48,15000.0,96254.0,39136,4,0,4.64,101,57,0,2,100.44
Nagaland,Tuensang,133941.53,10000.0,50350.0,18615,7,1,7.11,118,53,0,3,95.61
West Bengal,Kolkata,100848.35,10000.0,99251.0,29268,5,0,3.63,128,62,1,3,107.25
Meghalaya,Shillong,96827.91,15000.0,60198.0,16620,4,0,4.71,76,57,1,5,98.37
Punjab,Patiala,186773.43,20000.0,56581.0,37385,4,0,4.68,94,53,1,1,101.76
Odisha,Cuttack,151481.06,15000.0,74169.0,15504,6,3,6.48,135,47,1,3,106.59
Jharkhand,Dhanbad,181685.8,15000.0,64736.0,22449,5,2,4.31,79,51,1,1,103.73
Mizoram,Serchhip,180656.12,10000.0,76459.0,23086,6,1,3.76,115,35,0,3,109.69
Madhya Pradesh,Indore,50000.0,15000.0,61842.0,34848,7,2,5.06,118,59,1,5,107.56
Madhya Pradesh,Jabalpur,92995.87,15000.0,70297.0,30812,3,0,6.38,72,60,1,4,107.54
Gujarat,Rajkot,98968.75,15000.0,63624.0,21198,6,0,3.74,52,70,0,5,106.96
Uttarakhand,Nainital,109196.79,,87918.0,19743,7,0,4.19,92,59,0,2,106.23
Jharkhand,Bokaro,128982.23,20000.0,82689.0,38531,5,3,6.03,111,64,1,3,103.74
Arunachal Pradesh,Itanagar,,10000.0,78715.0,38607,3,2,6.33,73,59,1,2,106.61
Bihar,Bhagalpur,209924.12,15000.0,90803.0,34186,7,2,3.51,100,64,1,2,104.09
Tripura,Kailashahar,135355.46,10000.0,78947.0,24965,6,1,7.25,129,72,0,5,101.46
Goa,Mapusa,137435.96,10000.0,77681.0,23247,7,0,5.02,119,64,1,4,102.91
Telangana,Nizamabad,114728.31,10000.0,,27451,7,0,4.95,149,57,1,5,103.16
Nagaland,Dimapur,154459.38,15000.0,64256.0,39465,3,1,6.85,77,65,1,3,109.78
Tamil Nadu,Tiruchirapalli,160126.04,15000.0,64289.0,35254,4,2,3.94,136,60,1,4,102.29
Goa,Mapusa,190323.78,15000.0,77206.0,17536,7,1,4.43,82,62,1,2,106.53
Tripura,Agartala,189921.94,20000.0,90268.0,25247,3,1,6.92,58,58,1,2,103.92
Tamil Nadu,Chennai,50000.0,10000.0,83555.0,38139,3,0,5.75,106,72,1,1,102.08
Mizoram,Aizawl,,15000.0,83469.0,39562,5,1,5.96,92,79,1,1,108.26
Maharashtra,Pune,219205.0,15000.0,58407.0,15146,5,3,4.72,114,59,0,2,104.9
Telangana,Karimnagar,128094.25,10000.0,82842.0,25378,4,1,5.64,117,62,1,2,107.65
Karnataka,Mysore,206962.09,,69011.0,19290,6,3,6.86,103,66,0,4,108.71
Uttar Pradesh,Agra,134677.41,20000.0,77636.0,33720,7,1,7.43,97,72,1,1,105.49
Odisha,Sambalpur,158746.17,20000.0,83280.0,31841,7,2,5.05,101,67,0,5,98.0
Arunachal Pradesh,Ziro,93155.47,15000.0,57656.0,23386,3,0,4.14,128,69,1,2,107.84
West Bengal,Durgapur,95037.57,10000.0,77361.0,23486,3,0,4.95,106,72,1,5,96.42
Assam,Dibrugarh,186274.58,10000.0,78543.0,38137,3,1,4.89,100,63,1,4,96.83
Karnataka,Mysore,194090.91,20000.0,89979.0,17097,5,1,4.92,80,69,1,3,101.48
Goa,Panaji,151321.45,10000.0,67246.0,22437,3,1,4.52,101,66,0,2,95.77
Maharashtra,Pune,88623.79,,74081.0,28107,4,2,5.68,101,60,0,4,95.73
Odisha,Bhubaneswar,152190.23,15000.0,77549.0,29713,3,1,7.38,81,75,1,2,109.88
Uttar Pradesh,Agra,212861.75,15000.0,67248.0,20723,6,0,3.71,77,63,1,4,105.56
Meghalaya,Shillong,237143.32,15000.0,66974.0,31541,3,0,5.79,105,56,1,3,106.68
Rajasthan,Jaipur,134164.6,10000.0,,38194,7,1,7.32,103,70,1,2,108.0
Sikkim,Gangtok,,10000.0,73084.0,17625,7,1,5.18,133,70,0,2,95.58
Telangana,Karimnagar,,20000.0,101206.0,15100,3,3,5.68,92,64,1,3,101.39
Gujarat,Surat,136201.85,15000.0,73618.0,28644,7,1,3.93,102,59,1,4,107.79
Uttarakhand,Dehradun,197152.03,15000.0,82313.0,24510,3,1,5.88,77,49,0,2,106.32
Haryana,Panipat,164053.61,10000.0,75473.0,36929,3,1,5.05,48,58,1,4,96.84
Odisha,Cuttack,105827.79,10000.0,70387.0,30443,5,0,6.41,71,65,1,3,109.08
Punjab,Patiala,152912.22,15000.0,74637.0,38358,5,2,5.5,126,55,1,3,107.52
Meghalaya,Tura,215416.92,15000.0,86540.0,15870,7,0,3.93,139,89,1,4,100.99
Sikkim,Gangtok,142542.3,15000.0,74197.0,37582,7,2,4.13,110,62,1,4,109.03
Uttarakhand,Haridwar,98259.74,15000.0,72585.0,25385,4,0,7.03,105,51,1,4,107.12
Gujarat,,70567.79,15000.0,71478.0,16697,4,1,5.89,128,69,1,3,97.13
Himachal Pradesh,Kullu,111391.77,10000.0,60097.0,32080,3,1,3.78,83,78,1,3,100.67
Madhya Pradesh,Jabalpur,129493.19,10000.0,90601.0,33799,4,2,4.72,78,77,0,4,100.8
Andhra Pradesh,Guntur,190999.96,10000.0,68295.0,20292,6,2,6.53,109,71,1,4,109.04
Haryana,Ambala,93957.54,15000.0,,16616,5,0,5.82,111,75,1,4,101.99
Telangana,Warangal,227687.59,15000.0,78670.0,22062,7,2,7.01,100,55,1,2,102.64
Sikkim,Mangan,83142.39,10000.0,96088.0,34486,4,1,4.65,94,91,1,3,97.44
Bihar,Muzaffarpur,266574.3,10000.0,72000.0,20528,6,1,6.99,92,65,1,2,98.98
Assam,Guwahati,236275.93,15000.0,64002.0,30014,4,1,5.2,105,64,0,3,99.21
Uttarakhand,Almora,157058.31,20000.0,90648.0,29237,7,2,7.38,86,66,0,5,107.61
Assam,Silchar,67615.32,15000.0,66584.0,35740,4,3,6.89,146,63,1,2,101.0
Sikkim,Mangan,147228.8,10000.0,94283.0,32051,5,1,7.19,111,75,0,4,100.53
Madhya Pradesh,Bhopal,130657.95,15000.0,83680.0,22796,4,1,6.84,75,65,1,3,103.37
Haryana,Ambala,86285.64,15000.0,96966.0,22686,6,1,6.48,80,57,1,5,98.84
Gujarat,Ahmedabad,164550.48,10000.0,60352.0,20993,4,2,6.69,87,42,1,4,95.66
Uttarakhand,Almora,108817.84,15000.0,,36929,7,2,5.73,143,52,1,3,103.2
Andhra Pradesh,Vijayawada,,15000.0,63858.0,28097,4,1,5.07,78,68,1,1,100.65
Uttarakhand,Dehradun,139816.07,10000.0,39053.0,17872,6,0,5.13,116,65,0,1,101.98
Meghalaya,Shillong,121254.56,,88438.0,35197,4,0,5.21,97,65,1,5,104.93
Goa,Vasco da Gama,,20000.0,74903.0,18707,3,1,5.52,94,67,1,2,108.07
Gujarat,,123214.27,15000.0,89436.0,23408,7,3,6.21,115,65,1,5,99.88
Kerala,Thrissur,172044.05,10000.0,76380.0,19625,3,1,4.96,103,82,0,4,108.19
Tamil Nadu,Tiruchirapalli,157276.12,15000.0,75322.0,17164,3,2,6.23,97,55,1,2,104.52
Himachal Pradesh,Dharamshala,167637.51,10000.0,97465.0,25478,7,0,4.85,65,70,0,5,109.09
Uttarakhand,Nainital,171454.42,10000.0,76774.0,26865,7,0,5.79,84,93,1,5,103.35
Karnataka,,194068.07,15000.0,,34372,6,1,6.14,99,68,1,1,106.32
Jharkhand,Ranchi,163322.3,15000.0,73674.0,28587,6,1,5.07,111,66,0,4,95.58
Rajasthan,Jaipur,161244.79,10000.0,77364.0,22999,6,2,5.68,99,83,0,2,95.87
Andhra Pradesh,Nellore,152923.85,15000.0,32330.0,30133,3,1,3.57,86,75,0,1,96.3
Nagaland,Dimapur,143079.11,10000.0,82366.0,28051,4,0,5.4,94,65,1,1,108.01
Bihar,Muzaffarpur,104410.11,20000.0,95383.0,29710,5,0,6.79,143,52,1,3,97.54
Chhattisgarh,Raipur,146956.58,20000.0,,31673,4,1,4.7,59,62,0,4,97.92
Himachal Pradesh,Manali,162063.37,15000.0,68688.0,36628,5,2,4.56,93,73,1,1,95.94
Uttarakhand,Dehradun,170108.23,15000.0,80816.0,15162,5,3,6.59,124,69,1,3,107.97
Mizoram,Aizawl,159014.24,10000.0,101153.0,36373,5,2,4.78,96,63,1,4,96.3
Assam,Jorhat,138352.25,15000.0,82037.0,29862,5,1,5.06,84,74,1,4,105.18
Meghalaya,Tura,147146.0,20000.0,78215.0,22630,7,1,6.79,114,65,1,2,100.36
Chhattisgarh,Durg,122317.68,10000.0,69141.0,16563,6,4,3.76,119,54,1,4,99.35
Meghalaya,Tura,,15000.0,58957.0,15011,7,0,7.24,122,55,0,5,107.31
Assam,Jorhat,138943.59,15000.0,75351.0,19290,3,1,4.29,110,68,0,4,100.39
Punjab,,159028.05,15000.0,75623.0,16289,7,1,4.36,122,76,0,1,95.41
Manipur,Thoubal,200040.15,15000.0,46018.0,32251,6,0,6.59,112,54,1,5,98.05
Assam,Dibrugarh,114532.05,,64098.0,16798,4,1,3.99,83,65,0,1,101.37
Punjab,Patiala,179834.77,10000.0,92382.0,37186,6,3,4.06,98,65,0,1,96.62
Maharashtra,Nashik,151660.51,15000.0,71128.0,29672,4,1,3.87,101,79,0,1,96.58
Meghalaya,Jowai,251059.68,,38162.0,37803,3,3,5.92,120,55,0,3,98.14
Mizoram,Aizawl,139184.98,15000.0,99017.0,28102,5,1,6.87,89,64,0,2,103.11
West Bengal,Howrah,184758.23,20000.0,61627.0,32136,7,1,4.22,111,58,1,3,105.63
Telangana,Nizamabad,150767.67,10000.0,67945.0,36997,5,0,5.08,127,59,1,1,104.93
Punjab,Amritsar,80584.77,,90933.0,18316,3,0,6.22,72,64,1,4,95.06
Tamil Nadu,,,10000.0,63868.0,26291,3,4,4.72,64,82,0,4,101.72
Nagaland,Mokokchung,194023.56,,45450.0,17412,4,0,4.28,115,71,1,1,101.56
Nagaland,Mokokchung,128365.28,10000.0,78263.0,20042,4,3,7.12,97,47,0,4,98.36
Sikkim,Namchi,50000.0,15000.0,86952.0,20067,3,2,6.31,130,62,1,3,103.93
Maharashtra,Mumbai,148429.85,15000.0,67963.0,35221,6,1,7.2,162,62,0,4,98.87
Nagaland,Tuensang,95383.19,15000.0,73157.0,24063,5,1,6.62,128,79,1,2,109.84
Manipur,Thoubal,156590.89,10000.0,57303.0,38144,7,3,4.89,72,60,1,1,105.42
Manipur,Thoubal,227557.35,,60068.0,18067,3,1,3.6,139,59,0,5,108.75
Goa,Margao,188472.87,15000.0,70174.0,38794,7,3,5.37,113,56,1,2,95.88
Uttarakhand,,226832.79,15000.0,84729.0,29290,3,2,4.97,114,75,1,4,100.71
Manipur,Churachandpur,121924.4,10000.0,76466.0,33531,4,2,5.52,74,60,1,1,96.24
Nagaland,Dimapur,142841.68,20000.0,90300.0,17011,4,2,3.55,90,76,0,5,104.49
Bihar,Muzaffarpur,97778.19,15000.0,99804.0,29379,3,0,5.63,102,75,0,2,97.23
Tamil Nadu,Madurai,115797.83,,88298.0,37592,7,1,5.15,99,59,1,4,99.28
Haryana,Faridabad,103655.76,15000.0,51150.0,26441,5,0,6.22,105,55,0,4,102.6
Manipur,Churachandpur,84663.85,10000.0,70743.0,24282,3,2,4.58,91,55,0,1,109.22
Assam,,218292.83,15000.0,88154.0,32379,3,2,6.78,123,68,1,4,109.11
Manipur,Imphal,50000.0,15000.0,73206.0,36850,6,0,7.22,129,74,1,1,102.28
Madhya Pradesh,Jabalpur,218506.95,15000.0,50709.0,36573,3,0,4.16,77,72,1,5,100.84
Himachal Pradesh,Manali,212302.95,15000.0,66720.0,18485,4,1,6.09,83,63,0,3,100.07
Arunachal Pradesh,Ziro,,10000.0,40913.0,39484,6,2,6.03,62,48,1,1,109.39
Telangana,Warangal,94274.64,15000.0,70837.0,27122,6,2,4.86,47,57,0,2,106.17
